rs786201005	-	-	-	-	-
rs672601345	-	-	-	-	-
rs672601312	-	-	-	-	-
rs115173026	-	-	-	-	-
rs201073369	-	-	-	-	-
rs6657048	-	-	-	-	-
rs544749044	-	-	-	-	-
rs113789806	-	-	-	-	-
rs587777299	-	-	-	-	-
rs150359724	-	-	-	-	-
rs2799066	-	-	-	-	-
rs143324306	-	-	-	-	-
rs28484890	-	-	-	-	-
rs113288277	-	-	-	-	-
rs75774767	-	-	-	-	-
rs112039851	-	-	-	-	-
rs370387335	-	-	-	-	-
rs2465128	-	-	-	-	-
rs150132566	-	-	-	-	-
rs142416636	-	-	-	-	-
rs146358566	-	-	-	-	-
rs76264143	-	-	-	-	-
rs10267	-	-	-	-	-
rs75361935	-	-	-	-	-
rs536657086	-	-	-	-	-
rs779516004	-	-	-	-	-
rs139294803	-	-	-	-	-
rs184970403	-	-	-	-	-
rs201483077	-	-	-	-	-
rs200170414	-	-	-	-	-
rs9442391	-	-	-	-	-
rs75767981	-	-	-	-	-
rs111818381	-	-	-	-	-
rs115019873	-	-	-	-	-
rs17160775	-	-	-	-	-
rs17160776	-	-	-	-	-
rs199476396	-	-	-	-	-
rs587777298	-	-	-	-	-
rs144245019	-	-	-	-	-
rs17160781	-	-	-	-	-
rs17778478	-	-	-	-	-
rs9803031	-	-	-	-	-
rs74685771	-	-	-	-	-
rs4275402	-	-	-	-	-
rs587777075	-	-	-	-	-
rs786200938	-	-	-	-	-
rs397514722	-	-	-	-	-
rs794726955	-	-	-	-	-
rs190796582	-	-	-	-	-
rs397514719	-	-	-	-	-
rs397514720	-	-	-	-	-
rs786200943	-	-	-	-	-
rs750088530	-	-	-	-	-
rs786200942	-	-	-	-	-
rs397514718	-	-	-	-	-
rs786200941	-	-	-	-	-
rs397514723	-	-	-	-	-
rs397514724	-	-	-	-	-
rs397514717	-	-	-	-	-
rs786200939	-	-	-	-	-
rs368507303	-	-	-	-	-
rs397514721	-	-	-	-	-
rs797044837	-	-	-	-	-
rs797044840	-	-	-	-	-
rs797044833	-	-	-	-	-
rs797044839	-	-	-	-	-
rs797044838	-	-	-	-	-
rs797044835	-	-	-	-	-
rs797044834	-	-	-	-	-
rs797044836	-	-	-	-	-
rs606231455	-	-	-	-	-
rs606231451	-	-	-	-	-
rs606231452	-	-	-	-	-
rs606231453	-	-	-	-	-
rs606231454	-	-	-	-	-
rs199741261	-	-	-	-	-
rs752746786	-	-	-	-	-
rs121434580	-	-	-	-	-
rs41307846	-	-	-	-	-
rs369511458	-	-	-	-	-
rs387907304	-	-	-	-	-
rs200019352	-	-	-	-	-
rs387907306	-	-	-	-	-
rs387907305	-	-	-	-	-
rs397514590	-	-	-	-	-
rs397514589	-	-	-	-	-
rs745527890	-	-	-	-	-
rs28384811	PMID: 19112531  [PubMed - indexed for MEDLINE] PMCID: PMC2610290 	Identification of STRA6 and SKI sequence variants in patients with anophthalmia/microphthalmia.	White T1, Lu T, Metlapally R, Katowitz J, Kherani F, Wang TY, Tran-Viet KN, Young TL.	Mol Vis. 2008;14:2458-65. Epub  2008 Dec 26.	http://www.ncbi.nlm.nih.gov/pubmed/19112531
rs756778048	-	-	-	-	-
rs398122914	-	-	-	-	-
rs398122889	-	-	-	-	-
rs115746142	-	-	-	-	-
